host_description,Expected_Personal_Charisma,approach1_Personal_Charisma,approach1_Personal_Charisma_Precision,approach1_Personal_Charisma_Recall,approach1_Personal_Charisma_F1,approach2_Personal_Charisma,approach2_Personal_Charisma_Precision,approach2_Personal_Charisma_Recall,approach2_Personal_Charisma_F1,approach3_Personal_Charisma,approach3_Personal_Charisma_Precision,approach3_Personal_Charisma_Recall,approach3_Personal_Charisma_F1,Expected_Friendly_Attitudes,approach1_Friendly_Attitudes,approach1_Friendly_Attitudes_Precision,approach1_Friendly_Attitudes_Recall,approach1_Friendly_Attitudes_F1,approach2_Friendly_Attitudes,approach2_Friendly_Attitudes_Precision,approach2_Friendly_Attitudes_Recall,approach2_Friendly_Attitudes_F1,approach3_Friendly_Attitudes,approach3_Friendly_Attitudes_Precision,approach3_Friendly_Attitudes_Recall,approach3_Friendly_Attitudes_F1,Expected_Service_Assistance,approach1_Service_Assistance,approach1_Service_Assistance_Precision,approach1_Service_Assistance_Recall,approach1_Service_Assistance_F1,approach2_Service_Assistance,approach2_Service_Assistance_Precision,approach2_Service_Assistance_Recall,approach2_Service_Assistance_F1,approach3_Service_Assistance,approach3_Service_Assistance_Precision,approach3_Service_Assistance_Recall,approach3_Service_Assistance_F1,Expected_Socialisation_Sharing,approach1_Socialisation_Sharing,approach1_Socialisation_Sharing_Precision,approach1_Socialisation_Sharing_Recall,approach1_Socialisation_Sharing_F1,approach2_Socialisation_Sharing,approach2_Socialisation_Sharing_Precision,approach2_Socialisation_Sharing_Recall,approach2_Socialisation_Sharing_F1,approach3_Socialisation_Sharing,approach3_Socialisation_Sharing_Precision,approach3_Socialisation_Sharing_Recall,approach3_Socialisation_Sharing_F1
"""As a traveler myself, I strive to be a great host. A great host can be the difference between a good trip and a great trip.
I am a former restaurant owner and an active real estate professional and I strive to be the perfect host. All my guests deserve it.""","""former restaurant owner"", ""active real estate professional""","""I am a former restaurant owner"", ""an active real estate professional""",0.64,1.00,0.78,"""I am a former restaurant owner and an active real estate professional""",0.50,0.86,0.63,"""I am a former restaurant owner"", ""an active real estate professional""",0.64,1.00,0.78,"""all my guests deserve it""","""I strive to be the perfect host""",0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""strive to be a great host"", ""strive to be the perfect host""",0.00,0.00,0.00,"""strive to be a great host"", ""perfect host""",None detected,0.00,0.00,0.00,"""I strive to be the perfect host""",0.71,0.62,0.67,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"""I am a 14-year Airbnb veteran host and I have learned what is most important to travelers; cleanliness, style, and value. You get that with 10 stars each!
I am a jazz and classical flutist who enjoys hosting travelers from all parts of the globe.""","""jazz and classical flutist""","""I am a jazz and classical flutist who enjoys hosting travelers from all parts of the globe""",0.24,1.00,0.38,"""I am a jazz and classical flutist who enjoys hosting travelers from all parts of the globe""",0.24,1.00,0.38,"""I am a jazz and classical flutist"", ""enjoys hosting travelers from all parts of the globe""",0.19,0.75,0.30,"""enjoys hosting travelers from all parts of the globe""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""most important to travelers"", ""cleanliness, style, and value"", ""you get that with 10 stars each""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"""""""We are Simon and Allysa... erstwhile travelers living in New York City.
We love sharing our spaces with like-minded travelers and try to make sure that our guests have a really fantastic visit to New York.
If you're visiting New York and want to see it as locals do, please don't hesitate to get in touch.
Happy travels.""""""",erstwhile travelers,"""We are Simon and Allysa... erstwhile travelers living in New York City""",0.17,1.00,0.29,None detected,0.00,0.00,0.00,"""We are Simon and Allysa... erstwhile travelers living in New York City""",0.17,1.00,0.29,"really fantastic visit, ""happy travels""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""love sharing our spaces with like-minded travelers"", ""try to make sure that our guests have a really fantastic visit to New York""",0.10,0.40,0.16,please don't hesitate to get in touch,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"love sharing our spaces with like-minded travelers, ""want to see it as locals do""",None detected,0.00,0.00,0.00,"""We love sharing our spaces with like-minded travelers"", ""If you're visiting New York and want to see it as locals do, please don't hesitate to get in touch""",0.48,0.93,0.63,None detected,0.00,0.00,0.00
"""Henry prides himself on offering superb accommodations.
Over the years he has cultivated a keen talent for creating elegant, luxurious environments and assembled an impeccable collection of luxury rental properties.
Found in prestigious locations around the world, each home is an expression of Henry's meticulous approach to hosting and entertaining.
Elegant, lavish, sophisticated and comfortable; these properties were originally intended for Henry's closest friends and relatives to utilize and he now extends that privilege to his private clients.
Henry was chief legal officer for NYC Law Department before his departure to focus on a more creative role in Architecture and Design.""","""keen talent for creating elegant environments"", ""meticulous approach to hosting and entertaining"", ""focus on a creative role in Architecture and Design""","""Henry prides himself on offering superb accommodations"", ""an expression of Henry's meticulous approach to hosting and entertaining""",0.35,0.30,0.32,"""Henry prides himself on offering superb accommodations"", ""Each home is an expression of Henry's meticulous approach to hosting and entertaining""",0.30,0.30,0.30,"""Henry prides himself on offering superb accommodations"", ""was chief legal officer for NYC Law Department""",0.13,0.10,0.11,"""extends that privilege to private clients""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""prides himself on offering superb accommodations""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""extends that privilege to his private clients""",0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"Hey All,
Thanks for viewing my profile!

I am french / peruvian and work in banking in NYC.  I often go on vacation and enjoy meeting new people, visiting new places and learning different cultures. 

New York City is one of the greatest cities in the world and I would love to help you enjoy the city as much as possible. Not just tourist spots but local charms and hidden gems. Get in touch with me and well be able to coordinate a chat!
Cheers and thank you for viewing.


","French/Peruvian background, ""learning different cultures""","""I am french / peruvian and work in banking in NYC"", ""I often go on vacation and enjoy meeting new people, visiting new places and learning different cultures""",0.13,0.60,0.21,"""I am french / peruvian and work in banking in NYC"", ""I would love to help you enjoy the city as much as possible""",0.00,0.00,0.00,"""I am french / peruvian and work in banking in NYC"", ""I would love to help you enjoy the city as much as possible""",0.00,0.00,0.00,"Hey All, ""would love to help you enjoy the city"", ""thank you for viewing""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"help you enjoy the city as much as possible, ""coordinate a chat""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"enjoy meeting new people, ",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"""Creative soul always looking for new things to inspire me!
I own a retail company and work as a creative planner @JWT, freelance interior designer, work as product and brand developer for a few international companies and I still have time to write this bio :)
As I like to share experiences with other travellers and to meet people in general! Drop me a line if you are in my city.""
","creative soul, ""creative planner"", ""freelance interior designer"", ""product and brand developer""","""I own a retail company"", ""work as a creative planner @JWT, freelance interior designer"", ""like to share experiences with other travellers and to meet people in general""",0.20,0.50,0.29,"""I like to share experiences with other travellers and to meet people in general""",0.08,0.10,0.09,"""I own a retail company"", ""work as a creative planner @JWT"", ""freelance interior designer""",0.23,0.30,0.26,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,drop me a line,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"like to share experiences with other travellers, ""meet people in general""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""like to share experiences with other travellers and to meet people in general""",0.83,0.91,0.87
"""We have a two-bedroom apartment, and we are subletting out each room.
You might share the apartment with one of us or with another Airbnb guest.
As an artist I am very mobile; usually, my roommate takes care of the apartment when I am away.
He has a flexible schedule as well, so we have been happy doing Airbnb.
Our guests have been so wonderful so far, and we are looking forward to meeting new people.""","""as an artist I am very mobile""","""As an artist I am very mobile"", ""usually, my roommate takes care of the apartment when I am away""",0.35,0.86,0.50,None detected,0.00,0.00,0.00,"""As an artist I am very mobile"", ""have been happy doing Airbnb""",0.50,0.86,0.63,"""guests have been so wonderful"", ""looking forward to meet new people""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""roommate takes care of the apartment when I am away""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""share the apartment with one of us or with other airbnb guest""",None detected,0.00,0.00,0.00,"""Our guests have been so wonderful so far, and we are looking forward to meeting new people""",0.00,0.00,0.00,"""looking forward to meeting new people""",0.00,0.00,0.00
"I am a writer and quiltmaker and split my time between San Miguel Allende and New York City. Happiest when swimming or playing Scrabble, also am a film buff and non pretentious foodie.  I have lived in San Francisco, St. Augustine, Alaska, Chicago and Veracruz. 
Life motto: ""Exuberance is beauty.""  
I enjoy hosting- your comfort really matters to me and I work hard to make my home a welcoming space.","""writer and quiltmaker"", ""life motto: 'exuberance is beauty'"", ""film buff and non-pretentious foodie"", ""lived in multiple cities""","""I am a writer and quiltmaker"", ""your comfort really matters to me"", ""I work hard to make my home a welcoming space""",0.16,0.19,0.17,"""I am a writer and quiltmaker"", ""Your comfort really matters to me""",0.25,0.19,0.21,"""I am a writer and quiltmaker"", ""enjoy hosting"", ""your comfort really matters to me""",0.21,0.19,0.20,"""enjoy hosting"", ""make my home a welcoming space""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""work hard to make my home a welcoming space""",0.67,0.75,0.71,"""your comfort really matters to me""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I am a visual artist and professor, residing in Manhattan and Berlin.  Since I happily spend most of my  nickels and free time traveling to Berlin to paint and be with my partner, I want someone to enjoy my home who loves (or will love) New York as much as I do.  My apartment is also my painting studio, so enjoy the art on the walls, not all mine of course, as well.  I love cooking for my friends so the apartment is built to be cozy and to be shared.  I love my East River Park for long walks and for eating out in the neighborhood, look no further than downstairs!  I love New York because it has it all.  My neighborhood is everchanging.  Lots of new galleries springing up near me and the New Museum.  The best thing, I love staying connected to the people and cultures that I are unlike myself.","""visual artist and professor"", ""traveling to Berlin to paint"", ""apartment is also my painting studio"", ""love staying connected to people and cultures unlike myself""","""I am a visual artist and professor"", ""My apartment is also my painting studio"", ""I love cooking for my friends""",0.65,0.52,0.58,"""I am a visual artist and professor"", ""My apartment is also my painting studio, so enjoy the art on the walls""",0.53,0.48,0.50,"""I am a visual artist and professor"", ""love cooking for my friends"", ""love staying connected to the people and cultures""",0.61,0.52,0.56,"""want someone to enjoy my home who loves (or will love) New York as much as I do""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""love cooking for my friends so the apartment is built to be cozy and to be shared""",None detected,0.00,0.00,0.00,"""I love cooking for my friends so the apartment is built to be cozy and to be shared""",0.94,1.00,0.97,"""built to be cozy and to be shared""",1.00,0.40,0.57
"Hello, I'm Lisa.  I'm a marketing consultant, serving clients like CHANEL, The Economist, Mercedes, IBM, the Whitney Museum, and the U.N.  I also founded a startup that helped people going through hardships like cancer.  I truly enjoy helping guests experience NYC like a native New Yorker and then relax after a busy day in a quiet, art-filled space.  Please be sure to check out my local guide for insider tips.","""marketing consultant serving top clients"", ""founded a startup helping people going through hardships""","""I'm a marketing consultant"", ""I truly enjoy helping guests experience NYC like a native New Yorker""",0.20,0.23,0.21,"""I truly enjoy helping guests experience NYC like a native New Yorker"", ""Please be sure to check out my local guide for insider tips""",0.08,0.15,0.11,"""I'm a marketing consultant"", ""truly enjoy helping guests experience NYC like a native New Yorker""",0.21,0.23,0.22,"""truly enjoy helping guests experience NYC like a native New Yorker""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""check out my local guide for insider tips""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""Please be sure to check out my local guide for insider tips""",0.67,1.00,0.80,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"""We love to travel. When we travel we like to stay in a comfortable place that is clean, neat and sweet smelling, for a reasonable price. That's what we rent to you. We love city life but we also love outdoor adventures. We like keep up with all that's new and exciting around New York and we're happy to tell you where to find it. Want to hear the new young musicians that people are excited about or the promising new artists - we'll tell you about them. The best restaurants - ask us.
Want to take a break from the city we'll tell you about wilderness canoeing on the Delaware river - just an hour and a half's drive. We can tell you where to find the great salt water fishing with clean beautiful waters just an hour away from the city or how to take a one day trip by bus to ski in Vermont.


WHY WILLIAMSBURG?

Williamsburg is FABULOUS. It's fast growing and it's fast changing. It's hip. In the 1960's the new and exciting place where culture was blooming was Greenwich Village. In the 70's the SOHO neighborhood was where cheap industrial loft space were being turned into places where the adventurous could move to New York, live cheaply and make the new art, music, and culture. These days Williamsburg has that special chemistry of the New York that's constantly renewing itself. ""","""love to travel"", ""love city life and outdoor adventures"", ""keep up with what's new and exciting around New York"", ""enthusiastic about Williamsburg""","""We love to travel"", ""We love city life but we also love outdoor adventures""",0.60,0.32,0.41,"""We love to travel"", ""We love city life but we also love outdoor adventures""",0.60,0.32,0.41,"""We love to travel"", ""love city life but also love outdoor adventures""",0.60,0.32,0.41,"""we rent to you a comfortable, clean, sweet smelling place""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,"""We're happy to tell you where to find the best restaurants"", ""We can tell you where to find great salt water fishing""",0.00,0.00,0.00,"""happy to tell you where to find the best restaurants"", ""tell you about wilderness canoeing on the Delaware river""",0.00,0.00,0.00,"""happy to tell you where to find it"", ""we'll tell you about musicians, artists, restaurants, outdoor trips""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"""We're a couple in our thirties who love to travel and explore. 

When we're home, we love to cook and entertain, and our Brooklyn loft and Hudson Valley farmhouse  reflect that open and welcoming vibe.

Hopefully, our travel dates will coincide, and you can enjoy one of our homes while we're away! ""","""love to travel and explore"", ""love to cook and entertain""","""We love to cook and entertain"", ""our Brooklyn loft and Hudson Valley farmhouse reflect that open and welcoming vibe""",0.24,0.57,0.33,None detected,0.00,0.00,0.00,"""We love to cook and entertain"", ""reflect that open and welcoming vibe""",0.36,0.57,0.44,"""open and welcoming vibe""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""love to entertain""",None detected,0.00,0.00,0.00,"""When we're home, we love to cook and entertain"", ""Hopefully, our travel dates will coincide, and you can enjoy one of our homes while we're away!""",0.09,0.67,0.15,"""enjoy one of our homes while we're away""",0.00,0.00,0.00
"My husband and I have been married since 1998 and have two amazing boys! We were determined to stay in ""the city"" to raise our family so we could take advantage of all that New York has to offer.  We also love to travel and when we do, we try and stay in small, local accommodations so we can experience the local vibe of the surroundings. This same feeling is what we offer our visitors when they come to Greenpoint. 

","""love to travel and experience local vibe""","""My husband and I have been married since 1998"", ""We were determined to stay in 'the city' to raise our family""",0.10,0.29,0.15,"""My husband and I have been married since 1998 and have two amazing boys"", ""We were determined to stay in 'the city' to raise our family""",0.09,0.29,0.13,"""My husband and I have been married since 1998"", ""love to travel"", ""offer our visitors the local vibe of the surroundings""",0.25,0.71,0.37,"""this same feeling is what we offer our visitors""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,"""This same feeling is what we offer our visitors when they come to Greenpoint""",0.00,0.00,0.00,None detected,0.00,0.00,0.00
