host_description,Expected_Personal_Charisma,Expected_Friendly_Attitudes,Expected_Service_Assistance,Expected_Socialisation_Sharing,approach1_Personal_Charisma,approach1_Personal_Charisma_Precision,approach1_Personal_Charisma_Recall,approach1_Personal_Charisma_F1,approach1_Friendly_Attitudes,approach1_Friendly_Attitudes_Precision,approach1_Friendly_Attitudes_Recall,approach1_Friendly_Attitudes_F1,approach1_Service_Assistance,approach1_Service_Assistance_Precision,approach1_Service_Assistance_Recall,approach1_Service_Assistance_F1,approach1_Socialisation_Sharing,approach1_Socialisation_Sharing_Precision,approach1_Socialisation_Sharing_Recall,approach1_Socialisation_Sharing_F1,approach2_Personal_Charisma,approach2_Personal_Charisma_Precision,approach2_Personal_Charisma_Recall,approach2_Personal_Charisma_F1,approach2_Friendly_Attitudes,approach2_Friendly_Attitudes_Precision,approach2_Friendly_Attitudes_Recall,approach2_Friendly_Attitudes_F1,approach2_Service_Assistance,approach2_Service_Assistance_Precision,approach2_Service_Assistance_Recall,approach2_Service_Assistance_F1,approach2_Socialisation_Sharing,approach2_Socialisation_Sharing_Precision,approach2_Socialisation_Sharing_Recall,approach2_Socialisation_Sharing_F1,approach3_Personal_Charisma,approach3_Personal_Charisma_Precision,approach3_Personal_Charisma_Recall,approach3_Personal_Charisma_F1,approach3_Friendly_Attitudes,approach3_Friendly_Attitudes_Precision,approach3_Friendly_Attitudes_Recall,approach3_Friendly_Attitudes_F1,approach3_Service_Assistance,approach3_Service_Assistance_Precision,approach3_Service_Assistance_Recall,approach3_Service_Assistance_F1,approach3_Socialisation_Sharing,approach3_Socialisation_Sharing_Precision,approach3_Socialisation_Sharing_Recall,approach3_Socialisation_Sharing_F1,approach4_Personal_Charisma,approach4_Personal_Charisma_Precision,approach4_Personal_Charisma_Recall,approach4_Personal_Charisma_F1,approach4_Friendly_Attitudes,approach4_Friendly_Attitudes_Precision,approach4_Friendly_Attitudes_Recall,approach4_Friendly_Attitudes_F1,approach4_Service_Assistance,approach4_Service_Assistance_Precision,approach4_Service_Assistance_Recall,approach4_Service_Assistance_F1,approach4_Socialisation_Sharing,approach4_Socialisation_Sharing_Precision,approach4_Socialisation_Sharing_Recall,approach4_Socialisation_Sharing_F1,approach5_Personal_Charisma,approach5_Personal_Charisma_Precision,approach5_Personal_Charisma_Recall,approach5_Personal_Charisma_F1,approach5_Friendly_Attitudes,approach5_Friendly_Attitudes_Precision,approach5_Friendly_Attitudes_Recall,approach5_Friendly_Attitudes_F1,approach5_Service_Assistance,approach5_Service_Assistance_Precision,approach5_Service_Assistance_Recall,approach5_Service_Assistance_F1,approach5_Socialisation_Sharing,approach5_Socialisation_Sharing_Precision,approach5_Socialisation_Sharing_Recall,approach5_Socialisation_Sharing_F1
"""I am a 14-year Airbnb veteran host and I have learned what is most important to travelers; cleanliness, style, and value. You get that with 10 stars each!
I am a jazz and classical flutist who enjoys hosting travelers from all parts of the globe.""","""jazz and classical flutist""","""enjoys hosting travelers from all parts of the globe""","""most important to travelers"", ""cleanliness, style, and value"", ""you get that with 10 stars each""",,"""I am a jazz and classical flutist who enjoys hosting travelers from all parts of the globe""",0.375,1.0,0.5454545454545454,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I am a jazz and classical flutist who enjoys hosting travelers from all parts of the globe""",0.375,1.0,0.5454545454545454,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I am a jazz and classical flutist"", ""enjoys hosting travelers from all parts of the globe""",0.375,1.0,0.5454545454545454,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I am a 14-year Airbnb veteran host"", ""I am a jazz and classical flutist""",0.5,1.0,0.6666666666666666,"""enjoys hosting travelers from all parts of the globe""",1.0,1.0,1.0,"""I have learned what is most important to travelers; cleanliness, style, and value""",0.8,0.5,0.6153846153846154,None detected,1.0,1.0,1.0,"I am a 14-year Airbnb veteran host, I am a jazz and classical flutist",0.5,1.0,0.6666666666666666,enjoys hosting travelers from all parts of the globe,1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0
"""""""We are Simon and Allysa... erstwhile travelers living in New York City.
We love sharing our spaces with like-minded travelers and try to make sure that our guests have a really fantastic visit to New York.
If you're visiting New York and want to see it as locals do, please don't hesitate to get in touch.
Happy travels.""""""",erstwhile travelers,"really fantastic visit, ""happy travels""",please don't hesitate to get in touch,"love sharing our spaces with like-minded travelers, ""want to see it as locals do""","""We are Simon and Allysa... erstwhile travelers living in New York City""",0.2857142857142857,1.0,0.4444444444444445,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""We love sharing our spaces with like-minded travelers"", ""If you're visiting New York and want to see it as locals do, please don't hesitate to get in touch""",0.5,1.0,0.6666666666666666,"""We are Simon and Allysa... erstwhile travelers living in New York City""",0.2857142857142857,1.0,0.4444444444444445,"""love sharing our spaces with like-minded travelers"", ""try to make sure that our guests have a really fantastic visit to New York""",0.23076923076923078,0.6,0.33333333333333337,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""We are Simon and Allysa... erstwhile travelers living in New York City""",0.2857142857142857,1.0,0.4444444444444445,"""try to make sure that our guests have a really fantastic visit to New York""",0.3333333333333333,0.6,0.42857142857142855,"""If you're visiting New York and want to see it as locals do, please don't hesitate to get in touch""",0.4,1.0,0.5714285714285715,"""We love sharing our spaces with like-minded travelers""",1.0,0.5714285714285714,0.7272727272727273,We are Simon and Allysa... erstwhile travelers living in New York City,0.2857142857142857,1.0,0.4444444444444445,"We love sharing our spaces with like-minded travelers, try to make sure that our guests have a really fantastic visit to New York",0.23076923076923078,0.6,0.33333333333333337,"If you're visiting New York and want to see it as locals do, please don't hesitate to get in touch",0.4,1.0,0.5714285714285715,None detected,1.0,0.0,0.0
"""Henry prides himself on offering superb accommodations.
Over the years he has cultivated a keen talent for creating elegant, luxurious environments and assembled an impeccable collection of luxury rental properties.
Found in prestigious locations around the world, each home is an expression of Henry's meticulous approach to hosting and entertaining.
Elegant, lavish, sophisticated and comfortable; these properties were originally intended for Henry's closest friends and relatives to utilize and he now extends that privilege to his private clients.
Henry was chief legal officer for NYC Law Department before his departure to focus on a more creative role in Architecture and Design.""","""keen talent for creating elegant environments"", ""meticulous approach to hosting and entertaining"", ""focus on a creative role in Architecture and Design""","""extends that privilege to private clients""","""prides himself on offering superb accommodations""",,"""Henry prides himself on offering superb accommodations"", ""an expression of Henry's meticulous approach to hosting and entertaining""",0.4,0.2857142857142857,0.3333333333333333,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""Henry prides himself on offering superb accommodations"", ""Each home is an expression of Henry's meticulous approach to hosting and entertaining""",0.36363636363636365,0.2857142857142857,0.32,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""Henry prides himself on offering superb accommodations"", ""was chief legal officer for NYC Law Department""",0.0,0.0,0.0,None detected,1.0,0.0,0.0,"""extends that privilege to his private clients""",0.0,0.0,0.0,None detected,1.0,1.0,1.0,"""Henry prides himself on offering superb accommodations"", ""Henry was chief legal officer for NYC Law Department before his departure to focus on a more creative role in Architecture and Design""",0.29411764705882354,0.35714285714285715,0.3225806451612903,"""Henry's meticulous approach to hosting and entertaining""",0.0,0.0,0.0,"""Over the years he has cultivated a keen talent for creating elegant, luxurious environments and assembled an impeccable collection of luxury rental properties""",0.0,0.0,0.0,None detected,1.0,1.0,1.0,"Henry prides himself on offering superb accommodations, Henry was chief legal officer for NYC Law Department before his departure to focus on a more creative role in Architecture and Design",0.29411764705882354,0.35714285714285715,0.3225806451612903,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0
"Hey All,
Thanks for viewing my profile!

I am french / peruvian and work in banking in NYC.  I often go on vacation and enjoy meeting new people, visiting new places and learning different cultures. 

New York City is one of the greatest cities in the world and I would love to help you enjoy the city as much as possible. Not just tourist spots but local charms and hidden gems. Get in touch with me and well be able to coordinate a chat!
Cheers and thank you for viewing.


","French/Peruvian background, ""learning different cultures""","Hey All, ""would love to help you enjoy the city"", ""thank you for viewing""","help you enjoy the city as much as possible, ""coordinate a chat""","enjoy meeting new people, ","""I am french / peruvian and work in banking in NYC"", ""I often go on vacation and enjoy meeting new people, visiting new places and learning different cultures""",0.17647058823529413,0.75,0.2857142857142857,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""I am french / peruvian and work in banking in NYC"", ""I would love to help you enjoy the city as much as possible""",0.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""I am french / peruvian and work in banking in NYC"", ""I would love to help you enjoy the city as much as possible""",0.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""I am french / peruvian and work in banking in NYC"", ""enjoy meeting new people, visiting new places and learning different cultures""",0.21428571428571427,0.75,0.3333333333333333,"""Thanks for viewing my profile!"", ""I would love to help you enjoy the city as much as possible""",0.6666666666666666,0.75,0.7058823529411765,"""Get in touch with me and well be able to coordinate a chat""",0.3333333333333333,0.2857142857142857,0.30769230769230765,"""I often go on vacation"", ""Not just tourist spots but local charms and hidden gems""",0.0,0.0,0.0,"I am french / peruvian and work in banking in NYC, I often go on vacation and enjoy meeting new people, visiting new places and learning different cultures",0.17647058823529413,0.75,0.2857142857142857,Thanks for viewing my profile!,0.5,0.125,0.2,I would love to help you enjoy the city as much as possible. Not just tourist spots but local charms and hidden gems,0.3333333333333333,0.5714285714285714,0.4210526315789474,Get in touch with me and well be able to coordinate a chat!,0.0,0.0,0.0
"""Creative soul always looking for new things to inspire me!
I own a retail company and work as a creative planner @JWT, freelance interior designer, work as product and brand developer for a few international companies and I still have time to write this bio :)
As I like to share experiences with other travellers and to meet people in general! Drop me a line if you are in my city.""
","creative soul, ""creative planner"", ""freelance interior designer"", ""product and brand developer""",,drop me a line,"like to share experiences with other travellers, ""meet people in general""","""I own a retail company"", ""work as a creative planner @JWT, freelance interior designer"", ""like to share experiences with other travellers and to meet people in general""",0.3333333333333333,0.5555555555555556,0.4166666666666667,None detected,1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""I like to share experiences with other travellers and to meet people in general""",0.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""I own a retail company"", ""work as a creative planner @JWT"", ""freelance interior designer""",0.625,0.5555555555555556,0.5882352941176471,None detected,1.0,1.0,1.0,None detected,1.0,0.0,0.0,"""like to share experiences with other travellers and to meet people in general""",1.0,1.0,1.0,"""Creative soul always looking for new things to inspire me"", ""I own a retail company and work as a creative planner @JWT, freelance interior designer, work as product and brand developer for a few international companies and I still have time to write this bio""",0.391304347826087,1.0,0.5625,"""As I like to share experiences with other travellers and to meet people in general!""",0.0,1.0,0.0,"""Drop me a line if you are in my city""",0.6666666666666666,1.0,0.8,None detected,1.0,0.0,0.0,"Creative soul always looking for new things to inspire me, I own a retail company and work as a creative planner @JWT, freelance interior designer, work as product and brand developer for a few international companies",0.47368421052631576,1.0,0.6428571428571429,None detected,1.0,1.0,1.0,None detected,1.0,0.0,0.0,As I like to share experiences with other travellers and to meet people in general,1.0,1.0,1.0
"""We have a two-bedroom apartment, and we are subletting out each room.
You might share the apartment with one of us or with another Airbnb guest.
As an artist I am very mobile; usually, my roommate takes care of the apartment when I am away.
He has a flexible schedule as well, so we have been happy doing Airbnb.
Our guests have been so wonderful so far, and we are looking forward to meeting new people.""","""as an artist I am very mobile""","""guests have been so wonderful"", ""looking forward to meet new people""","""roommate takes care of the apartment when I am away""","""share the apartment with one of us or with other airbnb guest""","""As an artist I am very mobile"", ""usually, my roommate takes care of the apartment when I am away""",0.25,1.0,0.4,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""Our guests have been so wonderful so far, and we are looking forward to meeting new people""",0.0,0.0,0.0,"""As an artist I am very mobile"", ""have been happy doing Airbnb""",0.5,1.0,0.6666666666666666,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""looking forward to meeting new people""",0.0,0.0,0.0,"""As an artist I am very mobile"", ""He has a flexible schedule as well""",0.4,1.0,0.5714285714285715,"""Our guests have been so wonderful so far, and we are looking forward to meeting new people""",0.75,0.8571428571428571,0.7999999999999999,None detected,1.0,0.0,0.0,"""You might share the apartment with one of us or with another Airbnb guest""",0.75,1.0,0.8571428571428571,As an artist I am very mobile,1.0,1.0,1.0,"Our guests have been so wonderful so far, and we are looking forward to meeting new people",0.75,0.8571428571428571,0.7999999999999999,"usually, my roommate takes care of the apartment when I am away",0.8333333333333334,1.0,0.9090909090909091,None detected,1.0,0.0,0.0
"I am a writer and quiltmaker and split my time between San Miguel Allende and New York City. Happiest when swimming or playing Scrabble, also am a film buff and non pretentious foodie.  I have lived in San Francisco, St. Augustine, Alaska, Chicago and Veracruz. 
Life motto: ""Exuberance is beauty.""  
I enjoy hosting- your comfort really matters to me and I work hard to make my home a welcoming space.","""writer and quiltmaker"", ""life motto: 'exuberance is beauty'"", ""film buff and non-pretentious foodie"", ""lived in multiple cities""","""enjoy hosting"", ""make my home a welcoming space""","""your comfort really matters to me""",,"""I am a writer and quiltmaker"", ""your comfort really matters to me"", ""I work hard to make my home a welcoming space""",0.18181818181818182,0.2222222222222222,0.19999999999999998,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I am a writer and quiltmaker"", ""Your comfort really matters to me""",0.4,0.2222222222222222,0.2857142857142857,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I am a writer and quiltmaker"", ""enjoy hosting"", ""your comfort really matters to me""",0.2857142857142857,0.2222222222222222,0.25,"""work hard to make my home a welcoming space""",0.6666666666666666,0.6666666666666666,0.6666666666666666,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I am a writer and quiltmaker and split my time between San Miguel Allende and New York City"", ""Happiest when swimming or playing Scrabble, also am a film buff and non pretentious foodie"", ""I have lived in San Francisco, St. Augustine, Alaska, Chicago and Veracruz"", ""Life motto: 'Exuberance is beauty.'""",0.25925925925925924,0.7777777777777778,0.3888888888888889,"""your comfort really matters to me""",0.0,0.0,0.0,"""I work hard to make my home a welcoming space""",0.0,0.0,0.0,"""I enjoy hosting""",0.0,1.0,0.0,"I am a writer and quiltmaker and split my time between San Miguel Allende and New York City, Happiest when swimming or playing Scrabble, also am a film buff and non pretentious foodie, I have lived in San Francisco, St. Augustine, Alaska, Chicago and Veracruz",0.23076923076923078,0.6666666666666666,0.3428571428571429,your comfort really matters to me,0.0,0.0,0.0,I work hard to make my home a welcoming space,0.0,0.0,0.0,I enjoy hosting,0.0,1.0,0.0
"I am a visual artist and professor, residing in Manhattan and Berlin.  Since I happily spend most of my  nickels and free time traveling to Berlin to paint and be with my partner, I want someone to enjoy my home who loves (or will love) New York as much as I do.  My apartment is also my painting studio, so enjoy the art on the walls, not all mine of course, as well.  I love cooking for my friends so the apartment is built to be cozy and to be shared.  I love my East River Park for long walks and for eating out in the neighborhood, look no further than downstairs!  I love New York because it has it all.  My neighborhood is everchanging.  Lots of new galleries springing up near me and the New Museum.  The best thing, I love staying connected to the people and cultures that I are unlike myself.","""visual artist and professor"", ""traveling to Berlin to paint"", ""apartment is also my painting studio"", ""love staying connected to people and cultures unlike myself""","""want someone to enjoy my home who loves (or will love) New York as much as I do""",,"""love cooking for my friends so the apartment is built to be cozy and to be shared""","""I am a visual artist and professor"", ""My apartment is also my painting studio"", ""I love cooking for my friends""",0.8,0.5,0.6153846153846154,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,0.0,0.0,"""I am a visual artist and professor"", ""My apartment is also my painting studio, so enjoy the art on the walls""",0.7,0.4375,0.5384615384615384,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I love cooking for my friends so the apartment is built to be cozy and to be shared""",1.0,1.0,1.0,"""I am a visual artist and professor"", ""love cooking for my friends"", ""love staying connected to the people and cultures""",0.8,0.5,0.6153846153846154,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""built to be cozy and to be shared""",1.0,0.42857142857142855,0.6,"""I am a visual artist and professor, residing in Manhattan and Berlin"", ""I love cooking for my friends"", ""I love my East River Park for long walks and for eating out in the neighborhood"", ""I love New York because it has it all"", ""My neighborhood is everchanging""",0.2631578947368421,0.3125,0.2857142857142857,"""I want someone to enjoy my home who loves (or will love) New York as much as I do""",1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""My apartment is also my painting studio, so enjoy the art on the walls, not all mine of course, as well"", ""the apartment is built to be cozy and to be shared"", ""I love staying connected to the people and cultures that I are unlike myself""",0.2631578947368421,0.7142857142857143,0.3846153846153846,"I am a visual artist and professor, residing in Manhattan and Berlin, I love cooking for my friends, I love my East River Park for long walks and for eating out in the neighborhood",0.3125,0.3125,0.3125,I want someone to enjoy my home who loves (or will love) New York as much as I do,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"the apartment is built to be cozy and to be shared, I love staying connected to the people and cultures that I are unlike myself",0.5,0.7142857142857143,0.588235294117647
"Hello, I'm Lisa.  I'm a marketing consultant, serving clients like CHANEL, The Economist, Mercedes, IBM, the Whitney Museum, and the U.N.  I also founded a startup that helped people going through hardships like cancer.  I truly enjoy helping guests experience NYC like a native New Yorker and then relax after a busy day in a quiet, art-filled space.  Please be sure to check out my local guide for insider tips.","""marketing consultant serving top clients"", ""founded a startup helping people going through hardships""","""truly enjoy helping guests experience NYC like a native New Yorker""","""check out my local guide for insider tips""",,"""I'm a marketing consultant"", ""I truly enjoy helping guests experience NYC like a native New Yorker""",0.25,0.2727272727272727,0.2608695652173913,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I truly enjoy helping guests experience NYC like a native New Yorker"", ""Please be sure to check out my local guide for insider tips""",0.058823529411764705,0.09090909090909091,0.07142857142857142,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I'm a marketing consultant"", ""truly enjoy helping guests experience NYC like a native New Yorker""",0.25,0.2727272727272727,0.2608695652173913,None detected,1.0,0.0,0.0,"""Please be sure to check out my local guide for insider tips""",0.7142857142857143,1.0,0.8333333333333333,None detected,1.0,1.0,1.0,"""Hello, I'm Lisa"", ""I'm a marketing consultant, serving clients like CHANEL, The Economist, Mercedes, IBM, the Whitney Museum, and the U.N"", ""I also founded a startup that helped people going through hardships like cancer""",0.42857142857142855,0.8181818181818182,0.5625,None detected,1.0,0.0,0.0,"""I truly enjoy helping guests experience NYC like a native New Yorker and then relax after a busy day in a quiet, art-filled space"", ""Please be sure to check out my local guide for insider tips""",0.22727272727272727,1.0,0.37037037037037035,None detected,1.0,1.0,1.0,"Hello, I'm Lisa, I'm a marketing consultant, serving clients like CHANEL, The Economist, Mercedes, IBM, the Whitney Museum, and the U.N, I also founded a startup that helped people going through hardships like cancer",0.42857142857142855,0.8181818181818182,0.5625,None detected,1.0,0.0,0.0,I truly enjoy helping guests experience NYC like a native New Yorker,0.0,0.0,0.0,None detected,1.0,1.0,1.0
"""We love to travel. When we travel we like to stay in a comfortable place that is clean, neat and sweet smelling, for a reasonable price. That's what we rent to you. We love city life but we also love outdoor adventures. We like keep up with all that's new and exciting around New York and we're happy to tell you where to find it. Want to hear the new young musicians that people are excited about or the promising new artists - we'll tell you about them. The best restaurants - ask us.
Want to take a break from the city we'll tell you about wilderness canoeing on the Delaware river - just an hour and a half's drive. We can tell you where to find the great salt water fishing with clean beautiful waters just an hour away from the city or how to take a one day trip by bus to ski in Vermont.


WHY WILLIAMSBURG?

Williamsburg is FABULOUS. It's fast growing and it's fast changing. It's hip. In the 1960's the new and exciting place where culture was blooming was Greenwich Village. In the 70's the SOHO neighborhood was where cheap industrial loft space were being turned into places where the adventurous could move to New York, live cheaply and make the new art, music, and culture. These days Williamsburg has that special chemistry of the New York that's constantly renewing itself. ""","""love to travel"", ""love city life and outdoor adventures"", ""keep up with what's new and exciting around New York"", ""enthusiastic about Williamsburg""","""we rent to you a comfortable, clean, sweet smelling place""",,"""happy to tell you where to find it"", ""we'll tell you about musicians, artists, restaurants, outdoor trips""","""We love to travel"", ""We love city life but we also love outdoor adventures""",0.8571428571428571,0.46153846153846156,0.6,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,0.0,0.0,"""We love to travel"", ""We love city life but we also love outdoor adventures""",0.8571428571428571,0.46153846153846156,0.6,None detected,1.0,0.0,0.0,"""We're happy to tell you where to find the best restaurants"", ""We can tell you where to find great salt water fishing""",0.0,1.0,0.0,None detected,1.0,0.0,0.0,"""We love to travel"", ""love city life but also love outdoor adventures""",0.8571428571428571,0.46153846153846156,0.6,None detected,1.0,0.0,0.0,"""happy to tell you where to find the best restaurants"", ""tell you about wilderness canoeing on the Delaware river""",0.0,1.0,0.0,None detected,1.0,0.0,0.0,"""We love to travel"", ""We love city life but we also love outdoor adventures"", ""We like keep up with all that's new and exciting around New York""",0.8461538461538461,0.8461538461538461,0.8461538461538461,"""we're happy to tell you where to find it"", ""The best restaurants - ask us""",0.0,0.0,0.0,"""we'll tell you about them"", ""we'll tell you about wilderness canoeing on the Delaware river"", ""We can tell you where to find the great salt water fishing with clean beautiful waters just an hour away from the city or how to take a one day trip by bus to ski in Vermont""",0.0,1.0,0.0,"""Want to hear the new young musicians that people are excited about or the promising new artists - we'll tell you about them""",0.3,0.375,0.33333333333333326,"[""We love to travel"", ""We love city life but we also love outdoor adventures"", ""We like keep up with all that's new and exciting around New York""]",0.8333333333333334,0.7692307692307693,0.8,"[""we're happy to tell you where to find it""]",0.0,0.0,0.0,"[""we'll tell you about them"", ""We can tell you where to find the great salt water fishing with clean beautiful waters just an hour away from the city or how to take a one day trip by bus to ski in Vermont""]",0.0,1.0,0.0,"[""Want to hear the new young musicians that people are excited about or the promising new artists - we'll tell you about them"", ""Want to take a break from the city we'll tell you about wilderness canoeing on the Delaware river - just an hour and a half's drive""]",0.16666666666666666,0.375,0.23076923076923078
"""We're a couple in our thirties who love to travel and explore. 

When we're home, we love to cook and entertain, and our Brooklyn loft and Hudson Valley farmhouse  reflect that open and welcoming vibe.

Hopefully, our travel dates will coincide, and you can enjoy one of our homes while we're away! ""","""love to travel and explore"", ""love to cook and entertain""","""open and welcoming vibe""",,"""love to entertain""","""We love to cook and entertain"", ""our Brooklyn loft and Hudson Valley farmhouse reflect that open and welcoming vibe""",0.25,0.6,0.35294117647058826,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""When we're home, we love to cook and entertain"", ""Hopefully, our travel dates will coincide, and you can enjoy one of our homes while we're away!""",0.18181818181818182,1.0,0.3076923076923077,"""We love to cook and entertain"", ""reflect that open and welcoming vibe""",0.42857142857142855,0.6,0.5,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""enjoy one of our homes while we're away""",0.0,0.0,0.0,"""We're a couple in our thirties who love to travel and explore"", ""we love to cook and entertain""",0.7142857142857143,1.0,0.8333333333333333,"""our Brooklyn loft and Hudson Valley farmhouse  reflect that open and welcoming vibe""",0.3333333333333333,1.0,0.5,None detected,1.0,1.0,1.0,None detected,1.0,0.0,0.0,"[""We're a couple in our thirties who love to travel and explore"", ""we love to cook and entertain""]",0.6666666666666666,0.8,0.7272727272727272,"[""our Brooklyn loft and Hudson Valley farmhouse  reflect that open and welcoming vibe""]",0.25,0.6666666666666666,0.36363636363636365,None detected,1.0,1.0,1.0,None detected,1.0,0.0,0.0
"My husband and I have been married since 1998 and have two amazing boys! We were determined to stay in ""the city"" to raise our family so we could take advantage of all that New York has to offer.  We also love to travel and when we do, we try and stay in small, local accommodations so we can experience the local vibe of the surroundings. This same feeling is what we offer our visitors when they come to Greenpoint. 

","""love to travel and experience local vibe""","""this same feeling is what we offer our visitors""",,,"""My husband and I have been married since 1998"", ""We were determined to stay in 'the city' to raise our family""",0.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""My husband and I have been married since 1998 and have two amazing boys"", ""We were determined to stay in 'the city' to raise our family""",0.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""This same feeling is what we offer our visitors when they come to Greenpoint""",0.0,1.0,0.0,"""My husband and I have been married since 1998"", ""love to travel"", ""offer our visitors the local vibe of the surroundings""",0.36363636363636365,0.8,0.5000000000000001,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""My husband and I have been married since 1998 and have two amazing boys"", ""We were determined to stay in ""the city"" to raise our family so we could take advantage of all that New York has to offer"", ""We also love to travel""",0.09523809523809523,0.4,0.15384615384615385,"""This same feeling is what we offer our visitors when they come to Greenpoint""",0.6,1.0,0.7499999999999999,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"[""My husband and I have been married since 1998 and have two amazing boys"", ""We were determined to stay in \""the city\"" to raise our family so we could take advantage of all that New York has to offer"", ""We also love to travel""]",0.05,0.2,0.08000000000000002,"[""This same feeling is what we offer our visitors when they come to Greenpoint""]",0.75,1.0,0.8571428571428571,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0
"I live in Brooklyn, NY. I am an experienced Super Host. My family and I live in the building so we are always willing to assist guests when needed. After 10 years of short-term hosting, we have transitioned into longer term stays (of a month or more). We take pride in making all our guests as comfortable as possible no matter how long they stay.  ","""experienced Super Host""","""take pride in making all our guests as comfortable as possible""","""always willing to assist guests when needed""",,"""I am an experienced Super Host"", ""My family and I live in the building so we are always willing to assist guests when needed""",0.2727272727272727,1.0,0.42857142857142855,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""We are always willing to assist guests when needed"", ""We take pride in making all our guests as comfortable as possible""",0.5,1.0,0.6666666666666666,None detected,1.0,1.0,1.0,"""I am an experienced Super Host"", ""take pride in making all our guests as comfortable as possible""",0.3333333333333333,1.0,0.5,None detected,1.0,0.0,0.0,"""always willing to assist guests when needed""",1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""I live in Brooklyn, NY"", ""I am an experienced Super Host"", ""My family and I live in the building""",0.375,1.0,0.5454545454545454,"""we are always willing to assist guests when needed"", ""We take pride in making all our guests as comfortable as possible no matter how long they stay""",0.46153846153846156,1.0,0.631578947368421,"""we are always willing to assist guests when needed""",1.0,1.0,1.0,None detected,1.0,1.0,1.0,"[""I live in Brooklyn, NY"", ""I am an experienced Super Host"", ""My family and I live in the building""]",0.42857142857142855,1.0,0.6,"[""we are always willing to assist guests when needed"", ""We take pride in making all our guests as comfortable as possible no matter how long they stay""]",0.5,1.0,0.6666666666666666,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0
